Country,Admin1,Admin2,ISO3,Admin2 Pcode,Admin1 Pcode,Month,Year,Events,Fatalities
Yemen,Al Mahwit,Al Mahwait,YEM,YE2709,YE27,January,2015,0,0
Yemen,Taizz,Dhubab,YEM,YE1506,YE15,January,2015,0,0
Yemen,Shabwah,Hatib,YEM,YE2111,YE21,January,2015,0,0
Yemen,Al Hudaydah,Bura,YEM,YE1812,YE18,January,2015,0,0
Yemen,Lahij,Radfan,YEM,YE2507,YE25,January,2015,0,0
Yemen,Sanaa,Al Haymah Ad Dakhiliyah,YEM,YE2308,YE23,January,2015,0,0
Yemen,Sanaa,Al Husn,YEM,YE2315,YE23,January,2015,0,0
Yemen,Amran,Thula,YEM,YE2917,YE29,January,2015,0,0
Yemen,Al Mahrah,Manar,YEM,YE2805,YE28,January,2015,0,0
Yemen,Hajjah,Mustaba,YEM,YE1706,YE17,January,2015,0,0
Yemen,Marib,Harib Al Qaramish,YEM,YE2604,YE26,January,2015,1,2
Yemen,Hadramawt,Rumah,YEM,YE1901,YE19,January,2015,0,0
Yemen,Hajjah,Ash Shahil,YEM,YE1721,YE17,January,2015,0,0
Yemen,Marib,Al Abdiyah,YEM,YE2611,YE26,January,2015,0,0
Yemen,Hadramawt,Adh Dhliaah,YEM,YE1922,YE19,January,2015,0,0
Yemen,Ibb,Al Makhadir,YEM,YE1107,YE11,January,2015,1,2
Yemen,Ibb,An Nadirah,YEM,YE1104,YE11,January,2015,0,0
Yemen,Aden,Khur Maksar,YEM,YE2408,YE24,January,2015,1,0
Yemen,Abyan,Lawdar,YEM,YE1204,YE12,January,2015,1,1
Yemen,Lahij,Habil Jabr,YEM,YE2505,YE25,January,2015,0,0
Yemen,Dhamar,Jahran,YEM,YE2002,YE20,January,2015,2,1
Yemen,Al Jawf,Bart Al Anan,YEM,YE1610,YE16,January,2015,0,0
Yemen,Hadramawt,Sayun,YEM,YE1910,YE19,January,2015,4,5
Yemen,Raymah,Al Jafariyah,YEM,YE3106,YE31,January,2015,0,0
Yemen,Sadah,Haydan,YEM,YE2208,YE22,January,2015,0,0
Yemen,Al Jawf,Al Ghayl,YEM,YE1608,YE16,January,2015,0,0
Yemen,Raymah,Kusmah,YEM,YE3105,YE31,January,2015,0,0
Yemen,Hajjah,Aflah Ash Shawm,YEM,YE1710,YE17,January,2015,0,0
Yemen,Shabwah,Habban,YEM,YE2114,YE21,January,2015,0,0
Yemen,Hajjah,Kuhlan Ash Sharaf,YEM,YE1709,YE17,January,2015,0,0
Yemen,Sadah,Razih,YEM,YE2205,YE22,January,2015,0,0
Yemen,Al Bayda,Al Malagim,YEM,YE1420,YE14,January,2015,0,0
Yemen,Suqutra,Qulensya Wa Abd Al Kuri,YEM,YE3202,YE32,January,2015,0,0
Yemen,Al Jawf,Al Hazm,YEM,YE1605,YE16,January,2015,0,0
Yemen,Al Hudaydah,Al Hajjaylah,YEM,YE1811,YE18,January,2015,0,0
Yemen,Abyan,Rasad,YEM,YE1206,YE12,January,2015,0,0
Yemen,Hajjah,Wadhrah,YEM,YE1723,YE17,January,2015,0,0
Yemen,Marib,Majzar,YEM,YE2601,YE26,January,2015,1,2
Yemen,Al Bayda,As Sawadiyah,YEM,YE1411,YE14,January,2015,1,3
Yemen,Al Mahrah,Al Masilah,YEM,YE2806,YE28,January,2015,0,0
Yemen,Al Bayda,Rada,YEM,YE1413,YE14,January,2015,4,12
Yemen,Al Jawf,Al Maslub,YEM,YE1607,YE16,January,2015,0,0
Yemen,Al Mahrah,Hat,YEM,YE2802,YE28,January,2015,0,0
Yemen,Aden,Attawahi,YEM,YE2405,YE24,January,2015,0,0
Yemen,Lahij,Tur Al Bahah,YEM,YE2511,YE25,January,2015,0,0
Yemen,Sadah,Monabbih,YEM,YE2203,YE22,January,2015,0,0
Yemen,Lahij,Al Qabbaytah,YEM,YE2510,YE25,January,2015,0,0
Yemen,Sadah,Al Hashwah,YEM,YE2213,YE22,January,2015,0,0
Yemen,Al Mahwit,At Tawilah,YEM,YE2702,YE27,January,2015,0,0
Yemen,Ibb,Al Qafr,YEM,YE1101,YE11,January,2015,0,0
Yemen,Aden,Al Mansura,YEM,YE2403,YE24,January,2015,2,1
Yemen,Hajjah,Najrah,YEM,YE1726,YE17,January,2015,0,0
Yemen,Shabwah,Rudum,YEM,YE2117,YE21,January,2015,1,3
Yemen,Al Hudaydah,Alluheyah,YEM,YE1802,YE18,January,2015,0,0
Yemen,Amanat al Asimah,Shuaub,YEM,YE1302,YE13,January,2015,4,0
Yemen,Amran,As Sawd,YEM,YE2914,YE29,January,2015,0,0
Yemen,Al Mahrah,Al Ghaydah,YEM,YE2804,YE28,January,2015,0,0
Yemen,Dhamar,Dhamar City,YEM,YE2008,YE20,January,2015,3,6
Yemen,Sanaa,Attyal,YEM,YE2313,YE23,January,2015,0,0
Yemen,Al Jawf,Al Humaydat,YEM,YE1602,YE16,January,2015,0,0
Yemen,Ibb,Ar Radmah,YEM,YE1103,YE11,January,2015,1,0
Yemen,Al Hudaydah,Bajil,YEM,YE1810,YE18,January,2015,1,0
Yemen,Amanat al Asimah,Azzal,YEM,YE1303,YE13,January,2015,1,0
Yemen,Al Bayda,Al Bayda City,YEM,YE1409,YE14,January,2015,3,1
Yemen,Al Hudaydah,Kamaran,YEM,YE1803,YE18,January,2015,0,0
Yemen,Al Hudaydah,Jabal Ras,YEM,YE1818,YE18,January,2015,0,0
Yemen,Hajjah,Ash Shaghadirah,YEM,YE1725,YE17,January,2015,0,0
Yemen,Ibb,As Saddah,YEM,YE1106,YE11,January,2015,0,0
Yemen,Al Bayda,At Taffah,YEM,YE1407,YE14,January,2015,0,0
Yemen,Raymah,As Salafiyah,YEM,YE3102,YE31,January,2015,0,0
Yemen,Lahij,Al Hawtah,YEM,YE2514,YE25,January,2015,5,2
Yemen,Taizz,Ash Shamayatayn,YEM,YE1514,YE15,January,2015,0,0
Yemen,Al Hudaydah,Hays,YEM,YE1819,YE18,January,2015,0,0
Yemen,Ad Dali,Ash Shuayb,YEM,YE3004,YE30,January,2015,0,0
Yemen,Abyan,Jayshan,YEM,YE1203,YE12,January,2015,0,0
Yemen,Amran,Kharif,YEM,YE2910,YE29,January,2015,0,0
Yemen,Marib,Marib City,YEM,YE2612,YE26,January,2015,0,0
Yemen,Hajjah,Hayran,YEM,YE1705,YE17,January,2015,0,0
Yemen,Al Mahrah,Hawf,YEM,YE2803,YE28,January,2015,0,0
Yemen,Amran,Raydah,YEM,YE2911,YE29,January,2015,0,0
Yemen,Ibb,Badan,YEM,YE1113,YE11,January,2015,0,0
Yemen,Dhamar,Maghirib Ans,YEM,YE2004,YE20,January,2015,0,0
Yemen,Aden,Ash Shaikh Outhman,YEM,YE2402,YE24,January,2015,0,0
Yemen,Hadramawt,Al Mukalla City,YEM,YE1927,YE19,January,2015,13,9
Yemen,Hadramawt,Thamud,YEM,YE1902,YE19,January,2015,0,0
Yemen,Al Bayda,Al Arsh,YEM,YE1416,YE14,January,2015,0,0
Yemen,Sadah,Qatabir,YEM,YE2202,YE22,January,2015,0,0
Yemen,Lahij,Yahr,YEM,YE2504,YE25,January,2015,0,0
Yemen,Abyan,Al Mahfad,YEM,YE1201,YE12,January,2015,4,2
Yemen,Ad Dali,Ad Dhalee,YEM,YE3006,YE30,January,2015,10,3
Yemen,Amanat al Asimah,Aththaorah,YEM,YE1309,YE13,January,2015,2,0
Yemen,Amanat al Asimah,Maain,YEM,YE1308,YE13,January,2015,12,2
Yemen,Ad Dali,Al Husha,YEM,YE3009,YE30,January,2015,0,0
Yemen,Shabwah,Merkhah As Sufla,YEM,YE2109,YE21,January,2015,0,0
Yemen,Dhamar,Utmah,YEM,YE2005,YE20,January,2015,0,0
Yemen,Hadramawt,Huraidhah,YEM,YE1928,YE19,January,2015,0,0
Yemen,Shabwah,As Said,YEM,YE2112,YE21,January,2015,3,5
Yemen,Sadah,Kitaf wa Al Boqee,YEM,YE2214,YE22,January,2015,0,0
Yemen,Ad Dali,Juban,YEM,YE3001,YE30,January,2015,0,0
Yemen,Lahij,Al Milah,YEM,YE2508,YE25,January,2015,1,3
Yemen,Lahij,Al Madaribah Wa Al Arah,YEM,YE2513,YE25,January,2015,0,0
Yemen,Sadah,Al Dhaher,YEM,YE2207,YE22,January,2015,1,0
Yemen,Shabwah,Ataq,YEM,YE2113,YE21,January,2015,4,2
Yemen,Lahij,Al Musaymir,YEM,YE2509,YE25,January,2015,0,0
Yemen,Hajjah,Aslem,YEM,YE1712,YE17,January,2015,0,0
Yemen,Al Hudaydah,Al Munirah,YEM,YE1805,YE18,January,2015,0,0
Yemen,Shabwah,Bayhan,YEM,YE2107,YE21,January,2015,0,0
Yemen,Marib,Rahabah,YEM,YE2608,YE26,January,2015,0,0
Yemen,Taizz,Al Misrakh,YEM,YE1511,YE15,January,2015,0,0
Yemen,Hadramawt,Al Abr,YEM,YE1906,YE19,January,2015,0,0
Yemen,Al Bayda,Naman,YEM,YE1401,YE14,January,2015,0,0
Yemen,Shabwah,Arma,YEM,YE2104,YE21,January,2015,0,0
Yemen,Marib,Harib,YEM,YE2609,YE26,January,2015,2,9
Yemen,Ibb,Jiblah,YEM,YE1112,YE11,January,2015,0,0
Yemen,Hajjah,Sharas,YEM,YE1719,YE17,January,2015,0,0
Yemen,Hadramawt,Zamakh wa Manwakh,YEM,YE1904,YE19,January,2015,0,0
Yemen,Sadah,Shadaa,YEM,YE2206,YE22,January,2015,0,0
Yemen,Dhamar,Dawran Aness,YEM,YE2011,YE20,January,2015,0,0
Yemen,Amanat al Asimah,Al Wahdah,YEM,YE1306,YE13,January,2015,3,40
Yemen,Amran,As Sudah,YEM,YE2913,YE29,January,2015,0,0
Yemen,Al Hudaydah,Al Hali,YEM,YE1823,YE18,January,2015,1,2
Yemen,Al Hudaydah,Al Garrahi,YEM,YE1825,YE18,January,2015,0,0
Yemen,Hadramawt,Al Mukalla,YEM,YE1926,YE19,January,2015,0,0
Yemen,Hajjah,Bani Al Awam,YEM,YE1727,YE17,January,2015,0,0
Yemen,Hajjah,Qarah,YEM,YE1731,YE17,January,2015,0,0
Yemen,Taizz,Mawza,YEM,YE1507,YE15,January,2015,0,0
Yemen,Al Mahwit,Bani Sad,YEM,YE2707,YE27,January,2015,0,0
Yemen,Amanat al Asimah,Old City,YEM,YE1301,YE13,January,2015,0,0
Yemen,Amanat al Asimah,Assafiyah,YEM,YE1304,YE13,January,2015,2,2
Yemen,Shabwah,Jardan,YEM,YE2103,YE21,January,2015,0,0
Yemen,Dhamar,Wusab Al Ali,YEM,YE2006,YE20,January,2015,0,0
Yemen,Sanaa,Khwlan,YEM,YE2312,YE23,January,2015,3,2
Yemen,Sanaa,Sanhan,YEM,YE2305,YE23,January,2015,1,3
Yemen,Dhamar,Mayfaat Anss,YEM,YE2009,YE20,January,2015,0,0
Yemen,Al Mahwit,Milhan,YEM,YE2705,YE27,January,2015,0,0
Yemen,Al Jawf,Kharab Al Marashi,YEM,YE1612,YE16,January,2015,0,0
Yemen,Raymah,Al Jabin,YEM,YE3103,YE31,January,2015,0,0
Yemen,Al Hudaydah,Ad Dahi,YEM,YE1809,YE18,January,2015,1,1
Yemen,Shabwah,Ar Rawdah,YEM,YE2115,YE21,January,2015,0,0
Yemen,Al Jawf,Rajuzah,YEM,YE1611,YE16,February,2015,0,0
Yemen,Al Jawf,Khabb wa Ash Shaaf,YEM,YE1601,YE16,February,2015,0,0
Yemen,Amanat al Asimah,Bani Al Harith,YEM,YE1310,YE13,February,2015,1,0
Yemen,Shabwah,Mayfaa,YEM,YE2116,YE21,February,2015,3,6
Yemen,Al Hudaydah,Al Hawak,YEM,YE1821,YE18,February,2015,3,3
Yemen,Al Hudaydah,Al Mighlaf,YEM,YE1808,YE18,February,2015,0,0
